From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
R45.6	Physical violence	R45.6		N	4
R45.7	State of emotional shock and stress, unspecified	R45.7		N	4
R45.8	Other symptoms and signs involving emotional state	R45.8 or Z91.5		Y	4
R46	Symptoms and signs involving appearance and behaviour	R46		N	3
R46.0	Very low level of personal hygiene	R46.0		N	4
R46.1	Bizarre personal appearance	R46.1		N	4
R46.2	Strange and inexplicable behaviour	R46.2		N	4
R46.3	Overactivity	R46.3		N	4
R46.4	Slowness and poor responsiveness	R46.4		N	4
R46.5	Suspiciousness and marked evasiveness	R46.5		N	4
R46.6	Undue concern and preoccupation with stressful events	R46.6		N	4
R46.7	Verbosity and circumstantial detail obscuring reason for contact	R46.7		N	4
R46.8	Other symptoms and signs involving appearance and behaviour	R46.8		N	4
R47	Speech disturbances, not elsewhere classified	R47		N	3
R47.0	Dysphasia and aphasia	R47.0		N	4
R47.1	Dysarthria and anarthria	R47.1		N	4
R47.8	Other and unspecified speech disturbances	R47.8		N	4
R48	Dyslexia and other symbolic dysfunctions, not elsewhere classified	R48		N	3
R48.0	Dyslexia and alexia	R48.0		N	4
R48.1	Agnosia	R48.1		N	4
R48.2	Apraxia	R48.2		N	4
R48.8	Other and unspecified symbolic dysfunctions	R48.8		N	4
R49	Voice disturbances	R49		N	3
R49.0	Dysphonia	R49.0		N	4
R49.1	Aphonia	R49.1		N	4
R49.2	Hypernasality and hyponasality	R49.2		N	4
R49.8	Other and unspecified voice disturbances	R49.8		N	4
R50	Fever of other and unknown origin	R50		N	3
R50.2	Drug-induced fever	R50.0 or R50.1 or R50.9		Y	4
R50.8	Other specified fever	R50.0 or R50.1 or R50.9		Y	4
R50.9	Fever, unspecified	R50.9		N	4
R51.X	Headache	R51.X		N	3
R52	Pain, not elsewhere classified	R52		N	3
R52.0	Acute pain	R52.0		N	4
R52.1	Chronic intractable pain	R52.1		N	4
R52.2	Other chronic pain	R52.2		N	4
R52.9	Pain, unspecified	R52.9		N	4
R53.X	Malaise and fatigue	R53.X		N	3
R54.X	Senility	R54.X		N	3
R55.X	Syncope and collapse	R55.X		N	3
R56	Convulsions, not elsewhere classified	R56		N	3
R56.0	Febrile convulsions	R56.0		N	4
R56.8	Other and unspecified convulsions	R56.8		N	4
R57	Shock, not elsewhere classified	R57		N	3
R57.0	Cardiogenic shock	R57.0		N	4
R57.1	Hypovolaemic shock	R57.1		N	4
R57.2	Septic shock	A41.9		Y	4
R57.8	Other shock	R57.8		N	4
R57.9	Shock, unspecified	R57.9		N	4
R58.X	Haemorrhage, not elsewhere classified	R58.X		N	3
R59	Enlarged lymph nodes	R59		N	3
R59.0	Localized enlarged lymph nodes	R59.0		N	4
R59.1	Generalized enlarged lymph nodes	R59.1		N	4
R59.9	Enlarged lymph nodes, unspecified	R59.9		N	4
R60	Oedema, not elsewhere classified	R60		N	3
R60.0	Localized oedema	R60.0		N	4
R60.1	Generalized oedema	R60.1		N	4
R60.9	Oedema, unspecified	R60.9		N	4
R61	Hyperhidrosis	R61		N	3
R61.0	Localized hyperhidrosis	R61.0		N	4
R61.1	Generalized hyperhidrosis	R61.1		N	4
R61.9	Hyperhidrosis, unspecified	R61.9		N	4
R62	Lack of expected normal physiological development	R62		N	3
R62.0	Delayed milestone	R62.0		N	4
R62.8	Other lack of expected normal physiological development	R62.8		N	4
R62.9	Lack of expected normal physiological development, unspecified	R62.9		N	4
R63	Symptoms and signs concerning food and fluid intake	R63		N	3
R63.0	Anorexia	R63.0		N	4
R63.1	Polydipsia	R63.1		N	4
R63.2	Polyphagia	R63.2		N	4
R63.3	Feeding difficulties and mismanagement	R63.3		N	4
R63.4	Abnormal weight loss	R63.4		N	4
R63.5	Abnormal weight gain	R63.5		N	4
R63.6	Insufficient intake of food and water due to self neglect	R63.8		Y	4
R63.8	Other symptoms and signs concerning food and fluid intake	R63.8		N	4
R64.X	Cachexia	R64.X		N	3
R65	Systemic Inflammatory Response Syndrome [SIRS]	A41 or R68.8		Y	3
R65.0	Systemic Inflammatory Response Syndrome of infectious origin without organ failure	A41.-		Y	4
R65.1	Systemic Inflammatory Response Syndrome of infectious origin with organ failure	A41.-		Y	4
R65.2	Systemic Inflammatory Response Syndrome of non-infectious origin without organ failure	R68.8		Y	4
R65.3	Systemic Inflammatory Response Syndrome of non-infectious origin with organ failure	R68.8		Y	4
R65.9	Systemic Inflammatory Response Syndrome, unspecified	R68.8		Y	4
R68	Other general symptoms and signs	R68		N	3
R68.0	Hypothermia, not associated with low environmental temperature	R68.0		N	4
R68.1	Nonspecific symptoms peculiar to infancy	R68.1		N	4
R68.2	Dry mouth, unspecified	R68.2		N	4
R68.3	Clubbing of fingers	R68.3		N	4
R68.8	Other specified general symptoms and signs	R68.8		N	4
R69.X	Unknown and unspecified causes of morbidity	R69.X		N	3
R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	R70		N	3
R70.0	Elevated erythrocyte sedimentation rate	R70.0		N	4
R70.1	Abnormal plasma viscosity	R70.1		N	4
R71.X	Abnormality of red blood cells	R71.X		N	3
R72.X	Abnormality of white blood cells, not elsewhere classified	R72.X		N	3
R73	Elevated blood glucose level	R73		N	3
R73.0	Abnormal glucose tolerance test	R73.0		N	4
R73.9	Hyperglycaemia, unspecified	R73.9		N	4
R74	Abnormal serum enzyme levels	R74		N	3
R74.0	Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	R74.0		N	4
R74.8	Abnormal levels of other serum enzymes	R74.8		N	4
R74.9	Abnormal level of unspecified serum enzyme	R74.9		N	4
R75.X	Laboratory evidence of human immunodeficiency virus [HIV]	R75.X		N	3
R76	Other abnormal immunological findings in serum	R76		N	3
R76.0	Raised antibody titre	R76.0		N	4
R76.1	Abnormal reaction to tuberculin test	R76.1		N	4
R76.2	False-positive serological test for syphilis	R76.2		N	4
R76.8	Other specified abnormal immunological findings in serum	R76.8		N	4
R76.9	Abnormal immunological finding in serum, unspecified	R76.9		N	4
R77	Other abnormalities of plasma proteins	R77		N	3
R77.0	Abnormality of albumin	R77.0		N	4
R77.1	Abnormality of globulin	R77.1		N	4
R77.2	Abnormality of alphafetoprotein	R77.2		N	4
R77.8	Other specified abnormalities of plasma proteins	R77.8		N	4
R77.9	Abnormality of plasma protein, unspecified	R77.9		N	4
R78	Findings of drugs and other substances, not normally found in blood	R78		N	3
R78.0	Finding of alcohol in blood	R78.0		N	4
R78.1	Finding of opiate drug in blood	R78.1		N	4
R78.2	Finding of cocaine in blood	R78.2		N	4
R78.3	Finding of hallucinogen in blood	R78.3		N	4
R78.4	Finding of other drugs of addictive potential in blood	R78.4		N	4
R78.5	Finding of psychotropic drug in blood	R78.5		N	4
R78.6	Finding of steroid agent in blood	R78.6		N	4
R78.7	Finding of abnormal level of heavy metals in blood	R78.7		N	4
R78.8	Finding of other specified substances, not normally found in blood	R78.8		N	4
R78.9	Finding of unspecified substance, not normally found in blood	R78.9		N	4
R79	Other abnormal findings of blood chemistry	R79		N	3
R79.0	Abnormal level of blood mineral	R79.0		N	4
R79.8	Other specified abnormal findings of blood chemistry	R79.8		N	4
R79.9	Abnormal finding of blood chemistry, unspecified	R79.9		N	4
R80.X	Isolated proteinuria	R80.X		N	3
R81.X	Glycosuria	R81.X		N	3
R82	Other abnormal findings in urine	R82		N	3
R82.0	Chyluria	R82.0		N	4
R82.1	Myoglobinuria	R82.1		N	4
R82.2	Biliuria	R82.2		N	4
R82.3	Haemoglobinuria	R82.3		N	4
R82.4	Acetonuria	R82.4		N	4
R82.5	Elevated urine levels of drugs, medicaments and biological substances	R82.5		N	4
R82.6	Abnormal urine levels of substances chiefly nonmedicinal as to source	R82.6		N	4
R82.7	Abnormal findings on microbiological examination of urine	R82.7		N	4
R82.8	Abnormal findings on cytological and histological examination of urine	R82.8		N	4
R82.9	Other and unspecified abnormal findings in urine	R82.9		N	4
R83	Abnormal findings in cerebrospinal fluid	R83		N	3
R83.0	Abnormal findings in cerebrospinal fluid; Abnormal level of enzymes	R83.0		N	4
R83.1	Abnormal findings in cerebrospinal fluid; Abnormal level of hormones	R83.1		N	4
R83.2	Abnormal findings in cerebrospinal fluid; Abnormal level of other drugs, medicaments and biological substances	R83.2		N	4
R83.3	Abnormal findings in cerebrospinal fluid; Abnormal level of substances chiefly nonmedicinal as to source	R83.3		N	4
R83.4	Abnormal findings in cerebrospinal fluid; Abnormal immunological findings	R83.4		N	4
R83.5	Abnormal findings in cerebrospinal fluid; Abnormal microbiological findings	R83.5		N	4
R83.6	Abnormal findings in cerebrospinal fluid; Abnormal cytological findings	R83.6		N	4
R83.7	Abnormal findings in cerebrospinal fluid; Abnormal histological findings	R83.7		N	4
R83.8	Abnormal findings in cerebrospinal fluid; Other abnormal findings	R83.8		N	4
R83.9	Abnormal findings in cerebrospinal fluid; Unspecified abnormal finding	R83.9		N	4
R84	Abnormal findings in specimens from respiratory organs and thorax	R84		N	3
R84.0	Abnormal findings in specimens from respiratory organs and thorax; Abnormal level of enzymes	R84.0		N	4
R84.1	Abnormal findings in specimens from respiratory organs and thorax; Abnormal level of hormones	R84.1		N	4
R84.2	Abnormal findings in specimens from respiratory organs and thorax; Abnormal level of other drugs, medicaments and biological substances	R84.2		N	4
R84.3	Abnormal findings in specimens from respiratory organs and thorax; Abnormal level of substances chiefly nonmedicinal as to source	R84.3		N	4
R84.4	Abnormal findings in specimens from respiratory organs and thorax; Abnormal immunological findings	R84.4		N	4
R84.5	Abnormal findings in specimens from respiratory organs and thorax; Abnormal microbiological findings	R84.5		N	4
R84.6	Abnormal findings in specimens from respiratory organs and thorax; Abnormal cytological findings	R84.6		N	4
R84.7	Abnormal findings in specimens from respiratory organs and thorax; Abnormal histological findings	R84.7		N	4
R84.8	Abnormal findings in specimens from respiratory organs and thorax; Other abnormal findings	R84.8		N	4
R84.9	Abnormal findings in specimens from respiratory organs and thorax; Unspecified abnormal finding	R84.9		N	4
R85	Abnormal findings in specimens from digestive organs and abdominal cavity	R85		N	3
R85.0	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal level of enzymes	R85.0		N	4
R85.1	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal level of hormones	R85.1		N	4
R85.2	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal level of other drugs, medicaments and biological substances	R85.2		N	4
R85.3	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal level of substances chiefly nonmedicinal as to source	R85.3		N	4
R85.4	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal immunological findings	R85.4		N	4
R85.5	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal microbiological findings	R85.5		N	4
R85.6	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal cytological findings	R85.6		N	4
R85.7	Abnormal findings in specimens from digestive organs and abdominal cavity; Abnormal histological findings	R85.7		N	4
R85.8	Abnormal findings in specimens from digestive organs and abdominal cavity; Other abnormal findings	R85.8		N	4
R85.9	Abnormal findings in specimens from digestive organs and abdominal cavity; Unspecified abnormal finding	R85.9		N	4
R86	Abnormal findings in specimens from male genital organs	R86		N	3
R86.0	Abnormal findings in specimens from male genital organs; Abnormal level of enzymes	R86.0		N	4
R86.1	Abnormal findings in specimens from male genital organs; Abnormal level of hormones	R86.1		N	4
R86.2	Abnormal findings in specimens from male genital organs; Abnormal level of other drugs, medicaments and biological substances	R86.2		N	4
R86.3	Abnormal findings in specimens from male genital organs; Abnormal level of substances chiefly nonmedicinal as to source	R86.3		N	4
R86.4	Abnormal findings in specimens from male genital organs; Abnormal immunological findings	R86.4		N	4
R86.5	Abnormal findings in specimens from male genital organs; Abnormal microbiological findings	R86.5		N	4
R86.6	Abnormal findings in specimens from male genital organs; Abnormal cytological findings	R86.6		N	4
R86.7	Abnormal findings in specimens from male genital organs; Abnormal histological findings	R86.7		N	4
R86.8	Abnormal findings in specimens from male genital organs; Other abnormal findings	R86.8		N	4
R86.9	Abnormal findings in specimens from male genital organs; Unspecified abnormal finding	R86.9		N	4
R87	Abnormal findings in specimens from female genital organs	R87		N	3
R87.0	Abnormal findings in specimens from female genital organs; Abnormal level of enzymes	R87.0		N	4
R87.1	Abnormal findings in specimens from female genital organs; Abnormal level of hormones	R87.1		N	4
R87.2	Abnormal findings in specimens from female genital organs; Abnormal level of other drugs, medicaments and biological substances	R87.2		N	4
R87.3	Abnormal findings in specimens from female genital organs; Abnormal level of substances chiefly nonmedicinal as to source	R87.3		N	4
R87.4	Abnormal findings in specimens from female genital organs; Abnormal immunological findings	R87.4		N	4
R87.5	Abnormal findings in specimens from female genital organs; Abnormal microbiological findings	R87.5		N	4
R87.6	Abnormal findings in specimens from female genital organs; Abnormal cytological findings	R87.6		N	4
R87.7	Abnormal findings in specimens from female genital organs; Abnormal histological findings	R87.7		N	4
R87.8	Abnormal findings in specimens from female genital organs; Other abnormal findings	R87.8		N	4
R87.9	Abnormal findings in specimens from female genital organs; Unspecified abnormal finding	R87.9		N	4
R89	Abnormal findings in specimens from other organs, systems and tissues	R89		N	3
R89.0	Abnormal findings in specimens from other organs, systems and tissues; Abnormal level of enzymes	R89.0		N	4
R89.1	Abnormal findings in specimens from other organs, systems and tissues; Abnormal level of hormones	R89.1		N	4
R89.2	Abnormal findings in specimens from other organs, systems and tissues; Abnormal level of other drugs, medicaments and biological substances	R89.2		N	4
R89.3	Abnormal findings in specimens from other organs, systems and tissues; Abnormal level of substances chiefly nonmedicinal as to source	R89.3		N	4
R89.4	Abnormal findings in specimens from other organs, systems and tissues; Abnormal immunological findings	R89.4		N	4
R89.5	Abnormal findings in specimens from other organs, systems and tissues; Abnormal microbiological findings	R89.5		N	4
R89.6	Abnormal findings in specimens from other organs, systems and tissues; Abnormal cytological findings	R89.6		N	4
R89.7	Abnormal findings in specimens from other organs, systems and tissues; Abnormal histological findings	R89.7		N	4
R89.8	Abnormal findings in specimens from other organs, systems and tissues; Other abnormal findings	R89.8		N	4
R89.9	Abnormal findings in specimens from other organs, systems and tissues; Unspecified abnormal finding	R89.9		N	4
R90	Abnormal findings on diagnostic imaging of central nervous system	R90		N	3
R90.0	Intracranial space-occupying lesion	R90.0		N	4
R90.8	Other abnormal findings on diagnostic imaging of central nervous system	R90.8		N	4
R91.X	Abnormal findings on diagnostic imaging of lung	R91.X		N	3
R92.X	Abnormal findings on diagnostic imaging of breast	R92.X		N	3
R93	Abnormal findings on diagnostic imaging of other body structures	R93		N	3
R93.0	Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified	R93.0		N	4
R93.1	Abnormal findings on diagnostic imaging of heart and coronary circulation	R93.1		N	4
R93.2	Abnormal findings on diagnostic imaging of liver and biliary tract	R93.2		N	4
R93.3	Abnormal findings on diagnostic imaging of other parts of digestive tract	R93.3		N	4
R93.4	Abnormal findings on diagnostic imaging of urinary organs	R93.4		N	4
R93.5	Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum	R93.5		N	4
R93.6	Abnormal findings on diagnostic imaging of limbs	R93.6		N	4
R93.7	Abnormal findings on diagnostic imaging of other parts of musculoskeletal system	R93.7		N	4
R93.8	Abnormal findings on diagnostic imaging of other specified body structures	R93.8		N	4
R94	Abnormal results of function studies	R94		N	3
R94.0	Abnormal results of function studies of central nervous system	R94.0		N	4
R94.1	Abnormal results of function studies of peripheral nervous system and special senses	R94.1		N	4
R94.2	Abnormal results of pulmonary function studies	R94.2		N	4
R94.3	Abnormal results of cardiovascular function studies	R94.3		N	4
R94.4	Abnormal results of kidney function studies	R94.4		N	4
R94.5	Abnormal results of liver function studies	R94.5		N	4
R94.6	Abnormal results of thyroid function studies	R94.6		N	4
R94.7	Abnormal results of other endocrine function studies	R94.7		N	4
R94.8	Abnormal results of function studies of other organs and systems	R94.8		N	4
R95.X	Sudden infant death syndrome	R95.X		N	3
R96	Other sudden death, cause unknown	R96		N	3
R96.0	Instantaneous death	R96.0		N	4
R96.1	Death occurring less than 24 hours from onset of symptoms, not otherwise explained	R96.1		N	4
R98.X	Unattended death	R98.X		N	3
R99.X	Other ill-defined and unspecified causes of mortality	R99.X		N	3
S00	Superficial injury of head	S00		N	3
S00.0	Superficial injury of scalp	S00.0		N	4
S00.1	Contusion of eyelid and periocular area	S00.1		N	4
S00.2	Other superficial injuries of eyelid and periocular area	S00.2		N	4
S00.3	Superficial injury of nose	S00.3		N	4
S00.4	Superficial injury of ear	S00.4		N	4
S00.5	Superficial injury of lip and oral cavity	S00.5		N	4
S00.7	Multiple superficial injuries of head	S00.7		N	4
S00.8	Superficial injury of other parts of head	S00.8		N	4
S00.9	Superficial injury of head, part unspecified	S00.9		N	4
S01	Open wound of head	S01		N	3
S01.0	Open wound of scalp	S01.0		N	4
S01.1	Open wound of eyelid and periocular area	S01.1		N	4
S01.2	Open wound of nose	S01.2		N	4
S01.3	Open wound of ear	S01.3		N	4
S01.4	Open wound of cheek and temporomandibular area	S01.4		N	4
S01.5	Open wound of lip and oral cavity	S01.5		N	4
S01.7	Multiple open wounds of head	S01.7		N	4
S01.8	Open wound of other parts of head	S01.8		N	4
S01.9	Open wound of head, part unspecified	S01.9		N	4
S02	Fracture of skull and facial bones	S02		N	3
S02.0	Fracture of vault of skull	S02.0		N	4
S02.00	Fracture of vault of skull; closed	S02.00		N	5
S02.01	Fracture of vault of skull; open	S02.01		N	5
S02.1	Fracture of base of skull	S02.1		N	4
S02.10	Fracture of base of skull; closed	S02.10		N	5
S02.11	Fracture of base of skull; open	S02.11		N	5
S02.2	Fracture of nasal bones	S02.2		N	4
S02.20	Fracture of nasal bones; closed	S02.20		N	5
S02.21	Fracture of nasal bones; open	S02.21		N	5
S02.3	Fracture of orbital floor	S02.3		N	4
S02.30	Fracture of orbital floor; closed	S02.30		N	5
S02.31	Fracture of orbital floor; open	S02.31		N	5
S02.4	Fracture of malar and maxillary bones	S02.4		N	4
S02.40	Fracture of malar and maxillary bones; closed	S02.40		N	5
S02.41	Fracture of malar and maxillary bones; open	S02.41		N	5
S02.5	Fracture of tooth	S02.5		N	4
S02.50	Fracture of tooth; closed	S02.50		N	5
S02.51	Fracture of tooth; open	S02.51		N	5
S02.6	Fracture of mandible	S02.6		N	4
S02.60	Fracture of mandible; closed	S02.60		N	5
S02.61	Fracture of mandible; open	S02.61		N	5
S02.7	Multiple fractures involving skull and facial bones	S02.7		N	4
S02.70	Multiple fractures involving skull and facial bones; closed	S02.70		N	5
S02.71	Multiple fractures involving skull and facial bones; open	S02.71		N	5
S02.8	Fractures of other skull and facial bones	S02.8		N	4
S02.80	Fractures of other skull and facial bones; closed	S02.80		N	5
S02.81	Fractures of other skull and facial bones; open	S02.81		N	5
S02.9	Fracture of skull and facial bones, part unspecified	S02.9		N	4
S02.90	Fracture of skull and facial bones, part unspecified; closed	S02.90		N	5
S02.91	Fracture of skull and facial bones, part unspecified; open	S02.91		N	5
S03	Dislocation, sprain and strain of joints and ligaments of head	S03		N	3
S03.0	Dislocation of jaw	S03.0		N	4
S03.1	Dislocation of septal cartilage of nose	S03.1		N	4
S03.2	Dislocation of tooth	S03.2		N	4
S03.3	Dislocation of other and unspecified parts of head	S03.3		N	4
S03.4	Sprain and strain of jaw	S03.4		N	4
S03.5	Sprain and strain of joints and ligaments of other and unspecified parts of head	S03.5		N	4
S04	Injury of cranial nerves	S04		N	3
S04.0	Injury of optic nerve and pathways	S04.0		N	4
S04.1	Injury of oculomotor nerve	S04.1		N	4
S04.2	Injury of trochlear nerve	S04.2		N	4
S04.3	Injury of trigeminal nerve	S04.3		N	4
S04.4	Injury of abducent nerve	S04.4		N	4
S04.5	Injury of facial nerve	S04.5		N	4
S04.6	Injury of acoustic nerve	S04.6		N	4
S04.7	Injury of accessory nerve	S04.7		N	4
S04.8	Injury of other cranial nerves	S04.8		N	4
S04.9	Injury of unspecified cranial nerve	S04.9		N	4
S05	Injury of eye and orbit	S05		N	3
S05.0	Injury of conjunctiva and corneal abrasion without mention of foreign body	S05.0		N	4
S05.1	Contusion of eyeball and orbital tissues	S05.1		N	4
S05.2	Ocular laceration and rupture with prolapse or loss of intraocular tissue	S05.2		N	4
S05.3	Ocular laceration without prolapse or loss of intraocular tissue	S05.3		N	4
S05.4	Penetrating wound of orbit with or without foreign body	S05.4		N	4
S05.5	Penetrating wound of eyeball with foreign body	S05.5		N	4
S05.6	Penetrating wound of eyeball without foreign body	S05.6		N	4
S05.7	Avulsion of eye	S05.7		N	4
S05.8	Other injuries of eye and orbit	S05.8		N	4
S05.9	Injury of eye and orbit, unspecified	S05.9		N	4
S06	Intracranial injury	S06		N	3
S06.0	Concussion	S06.0		N	4
S06.00	Concussion; without open intracranial wound	S06.00		N	5
S06.01	Concussion; with open intracranial wound	S06.01		N	5
S06.1	Traumatic cerebral oedema	S06.1		N	4
S06.10	Traumatic cerebral oedema; without open intracranial wound	S06.10		N	5
S06.11	Traumatic cerebral oedema; with open intracranial wound	S06.11		N	5
S06.2	Diffuse brain injury	S06.2		N	4
S06.20	Diffuse brain injury; without open intracranial wound	S06.20		N	5
S06.21	Diffuse brain injury; with open intracranial wound	S06.21		N	5
S06.3	Focal brain injury	S06.3		N	4
S06.30	Focal brain injury; without open intracranial wound	S06.30		N	5
S06.31	Focal brain injury; with open intracranial wound	S06.31		N	5
S06.4	Epidural haemorrhage	S06.4		N	4
S06.40	Epidural haemorrhage; without open intracranial wound	S06.40		N	5
S06.41	Epidural haemorrhage; with open intracranial wound	S06.41		N	5
S06.5	Traumatic subdural haemorrhage	S06.5		N	4
S06.50	Traumatic subdural haemorrhage; without open intracranial wound	S06.50		N	5
S06.51	Traumatic subdural haemorrhage; with open intracranial wound	S06.51		N	5
S06.6	Traumatic subarachnoid haemorrhage	S06.6		N	4
S06.60	Traumatic subarachnoid haemorrhage; without open intracranial wound	S06.60		N	5
S06.61	Traumatic subarachnoid haemorrhage; with open intracranial wound	S06.61		N	5
S06.7	Intracranial injury with prolonged coma	S06.7		N	4
S06.70	Intracranial injury with prolonged coma; without open intracranial wound	S06.70		N	5
S06.71	Intracranial injury with prolonged coma; with open intracranial wound	S06.71		N	5
S06.8	Other intracranial injuries	S06.8		N	4
S06.80	Other intracranial injuries; without open intracranial wound	S06.80		N	5
S06.81	Other intracranial injuries; with open intracranial wound	S06.81		N	5
S06.9	Intracranial injury, unspecified	S06.9		N	4
S06.90	Intracranial injury, unspecified; without open intracranial wound	S06.90		N	5
S06.91	Intracranial injury, unspecified; with open intracranial wound	S06.91		N	5
S07	Crushing injury of head	S07		N	3
S07.0	Crushing injury of face	S07.0		N	4
S07.1	Crushing injury of skull	S07.1		N	4
S07.8	Crushing injury of other parts of head	S07.8		N	4
S07.9	Crushing injury of head, part unspecified	S07.9		N	4
S08	Traumatic amputation of part of head	S08		N	3
S08.0	Avulsion of scalp	S08.0		N	4
S08.1	Traumatic amputation of ear	S08.1		N	4
S08.8	Traumatic amputation of other parts of head	S08.8		N	4
S08.9	Traumatic amputation of unspecified part of head	S08.9		N	4
S09	Other and unspecified injuries of head	S09		N	3
S09.0	Injury of blood vessels of head, not elsewhere classified	S09.0		N	4
S09.1	Injury of muscle and tendon of head	S09.1		N	4
S09.2	Traumatic rupture of ear drum	S09.2		N	4
S09.7	Multiple injuries of head	S09.7		N	4
S09.8	Other specified injuries of head	S09.8		N	4
S09.9	Unspecified injury of head	S09.9		N	4
S10	Superficial injury of neck	S10		N	3
S10.0	Contusion of throat	S10.0		N	4
S10.1	Other and unspecified superficial injuries of throat	S10.1		N	4
S10.7	Multiple superficial injuries of neck	S10.7		N	4
S10.8	Superficial injury of other parts of neck	S10.8		N	4
S10.9	Superficial injury of neck, part unspecified	S10.9		N	4
S11	Open wound of neck	S11		N	3
S11.0	Open wound involving larynx and trachea	S11.0		N	4
S11.1	Open wound involving thyroid gland	S11.1		N	4
S11.2	Open wound involving pharynx and cervical oesophagus	S11.2		N	4
S11.7	Multiple open wounds of neck	S11.7		N	4
S11.8	Open wound of other parts of neck	S11.8		N	4
S11.9	Open wound of neck, part unspecified	S11.9		N	4
S12	Fracture of neck	S12		N	3
S12.0	Fracture of first cervical vertebra	S12.0		N	4
S12.00	Fracture of first cervical vertebra; closed	S12.00		N	5
S12.01	Fracture of first cervical vertebra; open	S12.01		N	5
S12.1	Fracture of second cervical vertebra	S12.1		N	4
S12.10	Fracture of second cervical vertebra; closed	S12.10		N	5
S12.11	Fracture of second cervical vertebra; open	S12.11		N	5
S12.2	Fracture of other specified cervical vertebra	S12.2		N	4
S12.20	Fracture of other specified cervical vertebra; closed	S12.20		N	5
S12.21	Fracture of other specified cervical vertebra; open	S12.21		N	5
S12.7	Multiple fractures of cervical spine	S12.7		N	4
S12.70	Multiple fractures of cervical spine; closed	S12.70		N	5
S12.71	Multiple fractures of cervical spine; open	S12.71		N	5
S12.8	Fracture of other parts of neck	S12.8		N	4
S12.80	Fracture of other parts of neck; closed	S12.80		N	5
S12.81	Fracture of other parts of neck; open	S12.81		N	5
S12.9	Fracture of neck, part unspecified	S12.9		N	4
S12.90	Fracture of neck, part unspecified; closed	S12.90		N	5
S12.91	Fracture of neck, part unspecified; open	S12.91		N	5
S13	Dislocation, sprain and strain of joints and ligaments at neck level	S13		N	3
S13.0	Traumatic rupture of cervical intervertebral disc	S13.0		N	4
S13.1	Dislocation of cervical vertebra	S13.1		N	4
S13.2	Dislocation of other and unspecified parts of neck	S13.2		N	4
S13.3	Multiple dislocations of neck	S13.3		N	4
S13.4	Sprain and strain of cervical spine	S13.4		N	4
S13.5	Sprain and strain of thyroid region	S13.5		N	4
S13.6	Sprain and strain of joints and ligaments of other and unspecified parts of neck	S13.6		N	4
S14	Injury of nerves and spinal cord at neck level	S14		N	3
S14.0	Concussion and oedema of cervical spinal cord	S14.0		N	4
S14.1	Other and unspecified injuries of cervical spinal cord	S14.1		N	4
S14.2	Injury of nerve root of cervical spine	S14.2		N	4
S14.3	Injury of brachial plexus	S14.3		N	4
S14.4	Injury of peripheral nerves of neck	S14.4		N	4
S14.5	Injury of cervical sympathetic nerves	S14.5		N	4
S14.6	Injury of other and unspecified nerves of neck	S14.6		N	4
S15	Injury of blood vessels at neck level	S15		N	3
S15.0	Injury of carotid artery	S15.0		N	4
S15.1	Injury of vertebral artery	S15.1		N	4
S15.2	Injury of external jugular vein	S15.2		N	4
S15.3	Injury of internal jugular vein	S15.3		N	4
S15.7	Injury of multiple blood vessels at neck level	S15.7		N	4
S15.8	Injury of other blood vessels at neck level	S15.8		N	4
S15.9	Injury of unspecified blood vessel at neck level	S15.9		N	4
S16.X	Injury of muscle and tendon at neck level	S16.X		N	3
S17	Crushing injury of neck	S17		N	3
S17.0	Crushing injury of larynx and trachea	S17.0		N	4
S17.8	Crushing injury of other parts of neck	S17.8		N	4
S17.9	Crushing injury of neck, part unspecified	S17.9		N	4
S18.X	Traumatic amputation at neck level	S18.X		N	3
S19	Other and unspecified injuries of neck	S19		N	3
S19.7	Multiple injuries of neck	S19.7		N	4
S19.8	Other specified injuries of neck	S19.8		N	4
S19.9	Unspecified injury of neck	S19.9		N	4
S20	Superficial injury of thorax	S20		N	3
S20.0	Contusion of breast	S20.0		N	4
S20.1	Other and unspecified superficial injuries of breast	S20.1		N	4
S20.2	Contusion of thorax	S20.2		N	4
S20.3	Other superficial injuries of front wall of thorax	S20.3		N	4
S20.4	Other superficial injuries of back wall of thorax	S20.4		N	4
S20.7	Multiple superficial injuries of thorax	S20.7		N	4
S20.8	Superficial injury of other and unspecified parts of thorax	S20.8		N	4
S21	Open wound of thorax	S21		N	3
S21.0	Open wound of breast	S21.0		N	4
S21.1	Open wound of front wall of thorax	S21.1		N	4
S21.2	Open wound of back wall of thorax	S21.2		N	4
S21.7	Multiple open wounds of thoracic wall	S21.7		N	4
